address,object_type,floors,contruction_date,square
"г Уфа, б-р. Тюлькина, д.5 корп.1",Многоквартирный дом,12,1983-01-01 00:00:00,2786.4
"г Уфа, б-р. Тюлькина, д.7",Многоквартирный дом,12,1984-01-01 00:00:00,2764.6
"г Уфа, б-р. Тюлькина, д.7 корп.1",Многоквартирный дом,9,1983-01-01 00:00:00,5656.9
"г Уфа, б-р. Тюлькина, д.7 корп.2",Многоквартирный дом,9,1983-01-01 00:00:00,1702.0
"г Уфа, б-р. Тюлькина, д.7 корп.3",Многоквартирный дом,9,1983-01-01 00:00:00,2857.7
"г Уфа, б-р. Хадии Давлетшиной, д.11 корп.а",Другое строение,9,,0.01
"г Уфа, б-р. Хадии Давлетшиной, д.11./а",Другое строение,0,,0.01
"г Уфа, б-р. Хадии Давлетшиной, д.13",Многоквартирный дом,10,1980-01-01 00:00:00,4056.2
"г Уфа, б-р. Хадии Давлетшиной, д.13 корп.1",Многоквартирный дом,9,1979-01-01 00:00:00,3841.22
"г Уфа, б-р. Хадии Давлетшиной, д.16",Многоквартирный дом,10,1987-01-01 00:00:00,12676.7
"г Уфа, б-р. Хадии Давлетшиной, д.16 корп.1",Многоквартирный дом,9,1987-01-01 00:00:00,4908.8
"г Уфа, б-р. Хадии Давлетшиной, д.17",Многоквартирный дом,10,1979-01-01 00:00:00,4060.9
"г Уфа, б-р. Хадии Давлетшиной, д.17 корп.1",Многоквартирный дом,9,1980-01-01 00:00:00,7495.2
"г Уфа, б-р. Хадии Давлетшиной, д.18",Многоквартирный дом,11,1992-01-01 00:00:00,21975.2
"г Уфа, б-р. Хадии Давлетшиной, д.18 корп.1",Другое строение,10,1995-01-01 00:00:00,0.01
"г Уфа, б-р. Хадии Давлетшиной, д.18 корп.1а","Административные здания, конторы",2,,0.01
"г Уфа, б-р. Хадии Давлетшиной, д.18 корп.3",Другое строение,2,,0.01
"г Уфа, б-р. Хадии Давлетшиной, д.18/1",Условное помещение,1,,
"г Уфа, б-р. Хадии Давлетшиной, д.19",Многоквартирный дом,9,1980-01-01 00:00:00,3832.2
"г Уфа, б-р. Хадии Давлетшиной, д.19 корп.1",Другое строение,2,,0.01
"г Уфа, б-р. Хадии Давлетшиной, д.19 корп.2",Другое строение,1,2019-12-01 00:00:00,0.02
"г Уфа, б-р. Хадии Давлетшиной, д.19 корп.а",Другое строение,2,,0.01
"г Уфа, б-р. Хадии Давлетшиной, д.20 корп.1",Многоквартирный дом,3,1957-01-01 00:00:00,1155.3
"г Уфа, б-р. Хадии Давлетшиной, д.21",Гаражи,1,,0.01
"г Уфа, б-р. Хадии Давлетшиной, д.21",Многоквартирный дом,9,1982-01-01 00:00:00,4130.6
"г Уфа, б-р. Хадии Давлетшиной, д.23",Другое строение,3,2004-01-01 00:00:00,0.01
"г Уфа, б-р. Хадии Давлетшиной, д.24",Многоквартирный дом,11,2006-01-01 00:00:00,9793.1
"г Уфа, б-р. Хадии Давлетшиной, д.24 корп.1",Многоквартирный дом,12,1988-01-01 00:00:00,4030.5
"г Уфа, б-р. Хадии Давлетшиной, д.28",Другое строение,3,1974-01-01 00:00:00,0.01
"г Уфа, б-р. Хадии Давлетшиной, д.28*",Другое строение,0,,
"г Уфа, б-р. Хадии Давлетшиной, д.3",Другое строение,2,1939-01-01 00:00:00,0.01
"г Уфа, б-р. Хадии Давлетшиной, д.30",Многоквартирный дом,12,1981-01-01 00:00:00,6067.5
"г Уфа, б-р. Хадии Давлетшиной, д.30 корп.а",Другое строение,3,2005-01-01 00:00:00,0.01
"г Уфа, б-р. Хадии Давлетшиной, д.32",Другое строение,2,1983-01-01 00:00:00,0.01
"г Уфа, б-р. Хадии Давлетшиной, д.34",Многоквартирный дом,12,1980-01-01 00:00:00,6240.6
"г Уфа, б-р. Хадии Давлетшиной, д.4",Другое строение,4,1938-01-01 00:00:00,0.01
"г Уфа, б-р. Хадии Давлетшиной, д.4 корп.1",Другое строение,4,2007-01-01 00:00:00,0.01
"г Уфа, б-р. Хадии Давлетшиной, д.6",Многоквартирный дом,12,2012-01-01 00:00:00,6776.9
"г Уфа, б-р. Хадии Давлетшиной, д.9","Административные здания, конторы",9,,0.01
"г Уфа, наб. Моторостроителей, д.13",Многоквартирный дом,18,2015-01-01 00:00:00,6786.71
"г Уфа, наб. Моторостроителей, д.15 корп.А",Многоквартирный дом,20,2014-01-01 00:00:00,7392.3
"г Уфа, наб. Моторостроителей, д.15 корп.Б",Многоквартирный дом,19,2014-01-20 00:00:00,8006.2
"г Уфа, наб. Моторостроителей, д.17",Многоквартирный дом,20,2013-01-01 00:00:00,7492.3
"г Уфа, пер. Дачный, д.4",Многоквартирный дом,5,1972-01-01 00:00:00,3344.8
"г Уфа, пер. Дачный, д.6",Многоквартирный дом,5,1969-01-01 00:00:00,4471.2
"г Уфа, пер. Запорожский, д.32",Многоквартирный дом,2,1963-01-01 00:00:00,628.7
"г Уфа, пер. Запорожский, д.7",Многоквартирный дом,9,1985-01-01 00:00:00,4090.5
